Open Time,Open,High,Low,Close,Volume
2021-11-14,4644.27000000,4696.05000000,4514.12000000,4626.50000000,245309.06740000
2021-11-13,4665.47000000,4707.60000000,4584.08000000,4644.28000000,220720.66110000
2021-11-12,4719.00000000,4809.71000000,4507.85000000,4665.46000000,461580.04150000
2021-11-11,4628.68000000,4779.00000000,4576.47000000,4719.00000000,303688.97650000
2021-11-10,4732.33000000,4868.00000000,4461.93000000,4628.78000000,553596.99163000
2021-11-09,4807.98000000,4838.28000000,4713.89000000,4732.33000000,311267.57998000
2021-11-08,4612.59000000,4822.97000000,4612.00000000,4807.98000000,391102.31806000
2021-11-07,4518.00000000,4637.98000000,4502.37000000,4612.59000000,243596.59520000
2021-11-06,4474.24000000,4530.00000000,4326.17000000,4518.00000000,322154.09730000
2021-11-05,4532.31000000,4570.05000000,4438.80000000,4474.24000000,305651.72440000
2021-11-04,4603.35000000,4606.65000000,4420.08000000,4532.32000000,368218.25695000
2021-11-03,4589.68000000,4665.87000000,4455.00000000,4603.35000000,448658.35125000
2021-11-02,4319.43000000,4599.60000000,4284.43000000,4589.89000000,468184.79301000
2021-11-01,4287.48000000,4386.58000000,4146.30000000,4319.43000000,417620.70730000
2021-10-31,4322.68000000,4399.14000000,4164.35000000,4287.21000000,412856.28930000
2021-10-30,4418.89000000,4434.06000000,4232.20000000,4322.68000000,340223.06900000
2021-10-29,4286.01000000,4460.47000000,4265.97000000,4418.89000000,559231.07691000
2021-10-28,3921.99000000,4295.00000000,3890.17000000,4286.02000000,626378.50550000
2021-10-27,4131.52000000,4307.00000000,3909.00000000,3922.00000000,704604.25000000
2021-10-26,4220.36000000,4297.00000000,4090.21000000,4131.52000000,414498.15990000
2021-10-25,4082.33000000,4236.00000000,4067.71000000,4220.37000000,347438.65340000
2021-10-24,4167.13000000,4186.57000000,3961.50000000,4082.33000000,350115.83860000
2021-10-23,3972.19000000,4172.00000000,3937.51000000,4167.12000000,326576.96010000
2021-10-22,4053.00000000,4167.41000000,3888.00000000,3972.20000000,463222.54280000
2021-10-21,4161.37000000,4375.00000000,4013.13000000,4052.99000000,798566.55805000
2021-10-20,3876.98000000,4169.00000000,3828.05000000,4161.15000000,537383.09732000
2021-10-19,3744.96000000,3886.89000000,3732.00000000,3877.03000000,341268.37230000
2021-10-18,3847.00000000,3893.14000000,3676.00000000,3744.96000000,401819.97340000
2021-10-17,3829.96000000,3919.19000000,3640.00000000,3846.85000000,368898.98310000
2021-10-16,3868.38000000,3971.00000000,3803.56000000,3829.96000000,373727.85490000
2021-10-15,3790.82000000,3907.77000000,3734.10000000,3868.99000000,504321.73200000
2021-10-14,3607.41000000,3824.00000000,3586.04000000,3790.82000000,481894.14730000
2021-10-13,3491.43000000,3613.00000000,3412.70000000,3607.42000000,393463.12220000
2021-10-12,3542.12000000,3547.11000000,3403.21000000,3491.46000000,409377.19180000
2021-10-11,3414.22000000,3623.80000000,3371.00000000,3542.12000000,493521.88200000
2021-10-10,3574.83000000,3604.00000000,3405.00000000,3414.22000000,580223.63020000
2021-10-09,3563.13000000,3635.00000000,3538.07000000,3574.82000000,361906.75140000
2021-10-08,3587.47000000,3695.00000000,3532.00000000,3563.13000000,403597.14370000
2021-10-07,3574.88000000,3653.98000000,3470.80000000,3587.47000000,486102.35910000
2021-10-06,3515.48000000,3632.11000000,3342.00000000,3574.89000000,618265.54020000
2021-10-05,3386.31000000,3545.00000000,3363.78000000,3515.27000000,393900.88180000
2021-10-04,3417.73000000,3437.19000000,3270.00000000,3386.31000000,485204.64200000
2021-10-03,3387.77000000,3488.00000000,3342.51000000,3417.73000000,360586.89050000
